id;kategoria_produktu;nazwa;marka;cena_aktualna;waluta;cena_sprzed_30_dni;cena_regularna;material;podszewka;struktura;fason;ksztalt;rodzaj_dekoltu;numer_produktu;dlugosc;dlugosc_rekawa;opinia;url;listing_page;source;scraped_at;created_at
2572;"Koszulki z krótkim rękawem (męskie)";"- T-shirt z nadrukiem";"Nike Sportswear - T-shirt z nadrukiem";199.00;PLN;30.00;179.00;"100% bawełna";;"W kwiatki";Regular;Prosty;Okrągły;NI122O19W-P11;Standardowa;"Krótki rękaw";;https://www.zalando.pl/nike-sportswear-tee-floral-t-shirt-z-nadrukiem-mineral-slatesteam-ni122o19w-p11.html;105;zalando.pl;"2026-04-18 08:02:44.364+00";"2026-04-18 08:02:44.56421+00"
2571;"Koszulki z krótkim rękawem (męskie)";"- T-shirt z nadrukiem";"KARL LAGERFELD - T-shirt z nadrukiem";265.28;PLN;295.08;;"95% bawełna, 5% elastan";;Nadruk;Regular;Prosty;Okrągły;K4822O0M0-A11;Standardowa;"Krótki rękaw";;https://www.zalando.pl/karl-lagerfeld-crew-neck-t-shirt-basic-white-k4822o0m0-a11.html;105;zalando.pl;"2026-04-18 08:01:48.476+00";"2026-04-18 08:01:49.077861+00"
2570;"Koszulki z krótkim rękawem (męskie)";"- T-shirt z nadrukiem";"Iceberg - T-shirt z nadrukiem";899.00;PLN;30.00;779.00;"100% bawełna";;Nadruk;Regular;Prosty;Okrągły;IC322O08T-A11;Standardowa;"Krótki rękaw";;https://www.zalando.pl/iceberg-t-shirt-z-nadrukiem-bianco-ottico-ic322o08t-a11.html;105;zalando.pl;"2026-04-18 08:01:04.952+00";"2026-04-18 08:01:05.26719+00"
2569;"Koszulki z krótkim rękawem (męskie)";"- T-shirt z nadrukiem";"DC Shoes - T-shirt z nadrukiem";101.99;PLN;110.49;169.99;"100% bawełna";"100% poliester";Nadruk;"Loose fit";Prosty;Okrągły;DC121000M-Q11;Długa;"Krótki rękaw";;https://www.zalando.pl/dc-shoes-dc-star-pigment-dye-hss-t-shirt-z-nadrukiem-black-enzyme-wash-dc121000m-q11.html;105;zalando.pl;"2026-04-18 08:00:41.357+00";"2026-04-18 08:00:41.462816+00"
2568;"Koszulki z krótkim rękawem (męskie)";"- Bluzka z długim rękawem";"adidas Originals - Bluzka z długim rękawem";197.00;PLN;233.00;359.00;"100% poliester";;Kolorowy;Regular;Prosty;;AD122O1AW-Q11;Standardowa;"Długi rękaw";;https://www.zalando.pl/adidas-originals-goalie-bluzka-z-dlugim-rekawem-black-ad122o1aw-q11.html;105;zalando.pl;"2026-04-18 08:00:08.954+00";"2026-04-18 08:00:09.258605+00"
2567;"Koszulki z krótkim rękawem (męskie)";"WILBUR - T-shirt basic";"INDICODE JEANS WILBUR - T-shirt basic";89.99;PLN;164.99;;"100% bawełna";;"Kolor jednolity";Slim;Dopasowany;Okrągły;IJ022O013-G11;Standardowa;"Krótki rękaw";;https://www.zalando.pl/indicode-jeans-wilbur-t-shirt-basic-ij022o013-g11.html;105;zalando.pl;"2026-04-18 07:59:27.832+00";"2026-04-18 07:59:27.935605+00"
2566;"Koszulki z krótkim rękawem (męskie)";"- Koszulka polo";"Lyle &amp; Scott - Koszulka polo";287.00;PLN;255.00;319.00;"100% bawełna";;"Kolor jednolity";Regular;Prosty;;LY222P04W-K11;Standardowa;"Krótki rękaw";;https://www.zalando.pl/lyle-and-scott-koszulka-polo-dunkelblau-ly222p04w-k11.html;105;zalando.pl;"2026-04-18 07:58:50.055+00";"2026-04-18 07:58:50.302661+00"
2565;"Koszulki z krótkim rękawem (męskie)";"PORTISOL - T-shirt z nadrukiem";"Vilebrequin PORTISOL - T-shirt z nadrukiem";499.00;PLN;30.00;;"100% bawełna";;Nadruk;Regular;Prosty;Okrągły;V1122O00Z-K11;Standardowa;"Krótki rękaw";;https://www.zalando.pl/vilebrequin-portisol-t-shirt-z-nadrukiem-topaze-bleue-v1122o00z-k11.html;105;zalando.pl;"2026-04-18 07:58:08.252+00";"2026-04-18 07:58:08.3561+00"
2564;"Koszulki z krótkim rękawem (męskie)";"UNISEX - Bluzka z długim rękawem";"Edwin UNISEX - Bluzka z długim rękawem";319.00;PLN;30.00;129.00;"100% bawełna";;Nadruk;"Loose fit";Prosty;Okrągły;ED321009C-K11;Standardowa;"Długi rękaw";;https://www.zalando.pl/edwin-laid-back-league-unisex-bluzka-z-dlugim-rekawem-maritime-blue-ed321009c-k11.html;105;zalando.pl;"2026-04-18 07:57:32.827+00";"2026-04-18 07:57:33.070053+00"
2563;"Koszulki z krótkim rękawem (męskie)";"- T-shirt basic";"Lyle &amp; Scott - T-shirt basic";143.00;PLN;127.00;159.00;"100% bawełna";;"Kolor jednolity";Regular;Prosty;Okrągły;LY222O041-I14;Standardowa;"Krótki rękaw";;https://www.zalando.pl/lyle-and-scott-t-shirt-basic-acai-ly222o041-i14.html;105;zalando.pl;"2026-04-18 07:56:55.224+00";"2026-04-18 07:56:55.551934+00"
